Deal ID,Stage,Lead Source,Created Time
zcrm_5071505000001519149,Process Lost,outreach in Linkedin,2022-02-14 12:34:04
zcrm_5071505000001519182,Process Lost,,2022-02-14 12:44:25
zcrm_5071505000001519218,Process Lost,landing,2022-02-14 12:48:55
zcrm_5071505000001519254,Process Lost,landing,2022-02-14 12:54:31
zcrm_5071505000001581085,Process Lost,landing,2022-02-15 11:03:35
zcrm_5071505000001581128,Process Lost,Cold outreach (Linkedin),2022-02-15 11:19:00
zcrm_5071505000001641001,Process Lost,outreach in Linkedin,2022-02-15 22:31:42
zcrm_5071505000001670564,Process Lost,,2022-02-16 17:13:36
zcrm_5071505000001795001,Proposal Made,referral from our client,2022-02-18 13:40:19
zcrm_5071505000001869016,Process Lost,,2022-02-21 17:24:38
zcrm_5071505000001899001,Process Lost,outreach in Linkedin,2022-02-22 11:43:27
zcrm_5071505000001899009,Process Lost,outreach in Linkedin,2022-02-22 11:44:55
zcrm_5071505000001899066,Process Lost,landing,2022-02-22 12:02:48
zcrm_5071505000002071010,Process Lost,landing,2022-02-25 10:23:30
zcrm_5071505000002144059,Process Lost,Cold outreach (Linkedin),2022-02-28 08:41:15
zcrm_5071505000002185019,Process Lost,referral from Nastya Sartan,2022-03-01 10:06:38
zcrm_5071505000002271018,Process Lost,outreach in Linkedin,2022-03-03 14:55:07
zcrm_5071505000002285020,Process Lost,outreach in Linkedin,2022-03-03 15:06:24
zcrm_5071505000002285229,Process Lost,outreach in Linkedin,2022-03-04 11:23:50
zcrm_5071505000002286703,Closure Process,outreach in Linkedin,2022-03-04 11:31:02
zcrm_5071505000002462001,Closure Process,outreach in Linkedin,2022-03-09 12:33:21
zcrm_5071505000002527001,Process Lost,outreach in Linkedin,2022-03-10 16:30:55
zcrm_5071505000002527054,Process Lost,Cold outreach (Linkedin),2022-03-10 21:33:42
zcrm_5071505000002572007,Process Lost,Cold outreach (Linkedin),2022-03-11 22:32:08
zcrm_5071505000002654001,Process Lost,outreach in Linkedin,2022-03-14 17:51:00
zcrm_5071505000002654031,Process Lost,outreach in Linkedin,2022-03-15 10:01:24
zcrm_5071505000002751001,Process Lost,deal from an existing client,2022-03-16 13:33:41
zcrm_5071505000002777001,Process Lost,,2022-03-16 19:37:35
zcrm_5071505000002777031,Process Lost,outreach in Linkedin,2022-03-16 19:41:16
zcrm_5071505000002777061,Process Lost,outreach in Linkedin,2022-03-16 19:44:55
zcrm_5071505000002777241,Process Lost,outreach in Linkedin,2022-03-17 11:16:29
zcrm_5071505000002777271,Process Lost,outreach in Linkedin,2022-03-17 11:20:01
zcrm_5071505000002849013,Process Lost,outreach in Linkedin,2022-03-21 03:31:48
zcrm_5071505000002985004,Process Lost,landing,2022-03-22 16:38:21
zcrm_5071505000002985041,Closure Process,landing,2022-03-22 16:44:12
zcrm_5071505000002994001,Process Lost,outreach in Linkedin,2022-03-22 17:50:44
zcrm_5071505000003111004,Process Lost,landing,2022-03-24 12:51:46
zcrm_5071505000003111060,Process Lost,outreach in Linkedin,2022-03-24 12:56:45
zcrm_5071505000003172189,Process Lost,landing,2022-03-27 23:38:39
zcrm_5071505000003273001,Process Lost,outreach in Linkedin,2022-03-29 15:36:55
zcrm_5071505000003273046,Process Lost,landing,2022-03-29 15:44:30
zcrm_5071505000003292001,Process Lost,outreach in Linkedin,2022-03-29 18:55:31
zcrm_5071505000003456079,Process Lost,outreach in Linkedin,2022-04-05 00:06:26
zcrm_5071505000003548210,Process Lost,outreach in Linkedin,2022-04-07 02:53:07
zcrm_5071505000003635007,Closure Process,referral from our client,2022-04-07 13:03:03
zcrm_5071505000003635026,Process Lost,deal from an existing client,2022-04-07 13:07:40
